Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,KERALA,340,VADAKARA,GEN,81.13,MULLAPPALLY RAMACHANDRAN,INC
Lok Sabha,2014,GUJARAT,532,VADODARA,GEN,70.9,NARENDRA MODI,BJP
Lok Sabha,2014,BIHAR,171,VAISHALI,GEN,58.34,RAMA KISHORE SINGH,LJP
Lok Sabha,2014,BIHAR,735,VALMIKI NAGAR,GEN,61.8,SATISH DUBEY,BJP
Lok Sabha,2014,GUJARAT,166,VALSAD,ST,74.22,DR. K.C. PATEL,BJP
Lok Sabha,2014,UTTAR PRADESH,622,VARANASI,GEN,58.31,NARENDRA MODI,BJP
Lok Sabha,2014,TAMIL NADU,355,VELLORE,GEN,74.28,SENGUTTUVAN B.,AIADMK
Lok Sabha,2014,MADHYA PRADESH,572,VIDISHA,GEN,65.68,SUSHMA SWARAJ,BJP
Lok Sabha,2014,ANDHRA PRADESH,401,VIJAYAWADA,GEN,76.39,SRINIVAS KESINENI,TDP
Lok Sabha,2014,TAMIL NADU,344,VILUPPURAM,SC,76.97,S. RAJENDRAN,AIADMK
Lok Sabha,2014,TAMIL NADU,310,VIRUDHUNAGAR,GEN,74.86,RADHAKRISHNAN P.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,420,VISAKHAPATNAM,GEN,67.53,DR. KAMBHAMPATI HARI BABU,BJP
Lok Sabha,2014,ANDHRA PRADESH,431,VIZIANAGARAM,GEN,79.79,ASHOK GAJAPATHI RAJU PUSAPATI,TDP
Lok Sabha,2014,ANDHRA PRADESH,424,WARANGAL,SC,76.38,KADIYAM SRIHARI,TRS
Lok Sabha,2014,MAHARASHTRA,492,WARDHA,GEN,64.78,RAMDAS CHANDRABHANJI TADAS,BJP
Lok Sabha,2014,KERALA,338,WAYANAD,GEN,73.23,M.I. SHANAVAS,INC
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,767,WEST DELHI,GEN,66.1,PARVESH SAHIB SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,472,YAVATMAL-WASHIM,GEN,59.25,KUMAR BHAVANA PUNDLIKRAO GAWALI (PATIL),SHS
Lok Sabha,2014,ANDHRA PRADESH,428,ZAHIRABAD,GEN,75.75,B.B. PATIL,TRS
