Type of election,Year,State,Constituency no12,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,UTTAR PRADESH,523,757,SHAHJAHANPUR,SC,57.08,KRISHNA RAJ,BJP
Lok Sabha,2014,BIHAR,176,173,SHEOHAR,GEN,56.58,RAMA DEVI,BJP
Lok Sabha,2014,MEGHALAYA,76,658,SHILLONG,ST,63.22,VINCENT H. PALA,INC
Lok Sabha,2014,HIMACHAL PRADESH,461,813,SHIMLA,SC,63.97,VIRENDER KASHYAP,BJP
Lok Sabha,2014,KARNATAKA,296,372,SHIMOGA,GEN,72.27,B.S. YEDDYURAPPA,BJP
Lok Sabha,2014,MAHARASHTRA,216,459,SHIRDI,SC,63.89,LOKHANDE SADASHIV KISAN,SHS
Lok Sabha,2014,MAHARASHTRA,214,449,SHIRUR,GEN,59.73,ADHALRAO SHIVAJI DATTATREY,SHS
Lok Sabha,2014,UTTAR PRADESH,250,745,SHRAWASTI,GEN,54.79,DADDAN MISHRA,BJP
Lok Sabha,2014,MADHYA PRADESH,192,598,SIDHI,GEN,56.99,RITI PATHAK,BJP
Lok Sabha,2014,RAJASTHAN,395,744,SIKAR,GEN,60.2,SWAMI SUMEDHA NAND SARASWATI,BJP
Lok Sabha,2014,SIKKIM,341,752,SIKKIM,GEN,83.37,PREM DAS RAI,SDF
Lok Sabha,2014,ASSAM,26,608,SILCHAR,GEN,75.44,SUSHMITA DEV,INC
Lok Sabha,2014,JHARKHAND,264,536,SINGHBHUM,ST,69,LAXMAN GILUA,BJP
Lok Sabha,2014,HARYANA,378,795,SIRSA,SC,77.03,CHARANJEET SINGH RORI,INLD
Lok Sabha,2014,BIHAR,177,699,SITAMARHI,GEN,57.18,RAM KUMAR SHARMA,Rashtriya Lok Samta Party
Lok Sabha,2014,UTTAR PRADESH,342,742,SITAPUR,GEN,66.25,RAJESH KUMAR SINGH,BJP
Lok Sabha,2014,TAMIL NADU,503,318,SIVAGANGA,GEN,72.72,PR SENTHILNATHAN,AIADMK
Lok Sabha,2014,BIHAR,29,669,SIWAN,GEN,56.53,OM PRAKASH YADAV,BJP
Lok Sabha,2014,MAHARASHTRA,220,417,SOLAPUR,SC,55.86,SHARADKUMAR MARUTI BANSODE,BJP
Lok Sabha,2014,HARYANA,381,788,SONIPAT,GEN,69.55,RAMESH KAUSHIK,BJP
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,457,764,SOUTH DELHI,GEN,62.9,RAMESH BIDHURI,BJP
Lok Sabha,2014,GOA,187,380,SOUTH GOA,GEN,75.25,ADV. NARENDRA KESHAV SAWAIKAR,BJP
Lok Sabha,2014,WEST BENGAL,441,534,SREERAMPUR,GEN,79.46,KALYAN BANERJEE,AITC
Lok Sabha,2014,ANDHRA PRADESH,19,439,SRIKAKULAM,GEN,74.36,RAMMOHANNAIDU KINJARAPU,TDP
Lok Sabha,2014,JAMMU & KASHMIR,386,826,SRINAGAR,GEN,25.9,TARIQ HAMEED KARRA,JKPDP
Lok Sabha,2014,TAMIL NADU,477,356,SRIPERUMBUDUR,GEN,66.1,RAMACHANDRAN K.N. ,AIADMK
Lok Sabha,2014,UTTAR PRADESH,241,677,SULTANPUR,GEN,56.64,FEROZE VARUN GANDHI,BJP
Lok Sabha,2014,ORISSA,81,514,SUNDARGARH,ST,71.65,JUAL ORAM,BJP
Lok Sabha,2014,BIHAR,303,682,SUPAUL,GEN,63.62,RANJEET RANJAN,INC
Lok Sabha,2014,GUJARAT,289,488,SURAT,GEN,63.87,JARDOSH DARSHNABEN VIKRAMBHAI,BJP
Lok Sabha,2014,GUJARAT,274,559,SURENDRANAGAR,GEN,57.02,FATEPARA DEVAJIBHAI GOVINDBHAI,BJP
Lok Sabha,2014,CHHATTISGARH,106,579,SURGUJA,ST,77.96,KAMALBHAN SINGH MARABI,BJP
Lok Sabha,2014,WEST BENGAL,444,512,TAMLUK,GEN,87.59,SUVENDU ADHIKARI,AITC
Lok Sabha,2014,UTTARAKHAND,537,814,TEHRI GARHWAL,GEN,57.38,MALA RAJYA LAXMI SHAH,BJP
Lok Sabha,2014,TAMIL NADU,509,307,TENKASI,SC,73.65,VASANTHI M.,AIADMK
Lok Sabha,2014,ASSAM,167,715,TEZPUR,GEN,77.86,RAM PRASAD SHARMA,BJP
Lok Sabha,2014,MAHARASHTRA,334,446,THANE,GEN,50.84,VICHARE RAJAN BABURAO,SHS
Lok Sabha,2014,TAMIL NADU,502,323,THANJAVUR,GEN,75.54,PARASURAMAN K,AIADMK
Lok Sabha,2014,TAMIL NADU,505,313,THENI,GEN,74.63,PARTHIPAN R.,AIADMK
Lok Sabha,2014,KERALA,61,301,THIRUVANANTHAPURAM,GEN,68.63,DR. SHASHI THAROOR,INC
Lok Sabha,2014,TAMIL NADU,508,305,THOOTHUKKUDI,GEN,69.95,JEYASINGH THIYAGARAJ NATTERJEE J.,AIADMK
Lok Sabha,2014,KERALA,51,319,THRISSUR,GEN,72.18,C.N. JAYADEVAN,CPI
Lok Sabha,2014,MADHYA PRADESH,320,630,TIKAMGARH,SC,50.12,DR. VIRENDRA KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,496,322,TIRUCHIRAPPALLI,GEN,71.24,P. KUMAR S/O PALANIVEL,AIADMK
Lok Sabha,2014,TAMIL NADU,510,303,TIRUNELVELI,GEN,67.75,PRABAKARAN K.R.P,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,159,371,TIRUPATI,SC,77.04,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,TAMIL NADU,490,339,TIRUPPUR,GEN,76.34,V. SATHYABAMA,AIADMK
Lok Sabha,2014,TAMIL NADU,473,363,TIRUVALLUR,SC,73.67,DR. VENUGOPAL P.,AIADMK
Lok Sabha,2014,TAMIL NADU,483,347,TIRUVANNAMALAI,GEN,78.9,VANAROJA R.,AIADMK
Lok Sabha,2014,RAJASTHAN,402,692,TONK-SAWAI MADHOPUR,GEN,60.97,SUKHBIR SINGH JANAPURIA,BJP
Lok Sabha,2014,TRIPURA,239,588,TRIPURA EAST,ST,83.41,JITENDRA CHOUDHURY,CPI(M)
Lok Sabha,2014,TRIPURA,238,580,TRIPURA WEST,GEN,85.92,SHANKAR PRASAD DATTA,CPI(M)
Lok Sabha,2014,KARNATAKA,135,368,TUMKUR,GEN,72.54,S.P. MUDDAHANUMEGOWDA,INC
Lok Sabha,2014,MEGHALAYA,77,655,TURA,ST,78.1,PURNO AGITOK SANGMA,NPP
Lok Sabha,2014,RAJASTHAN,409,607,UDAIPUR,ST,65.63,ARJUNLAL MEENA,BJP
Lok Sabha,2014,JAMMU & KASHMIR,188,824,UDHAMPUR,GEN,69.91,DR. JITENDRA SINGH,BJP
Lok Sabha,2014,KARNATAKA,297,367,UDUPI CHIKMAGALUR,GEN,74.54,SHOBHA KARANDLAJE,BJP
Lok Sabha,2014,BIHAR,184,649,UJIARPUR,GEN,60.13,NITYANAND RAI,BJP
Lok Sabha,2014,MADHYA PRADESH,324,573,UJJAIN,SC,66.63,CHINTAMANI MALVIYA,BJP
Lok Sabha,2014,WEST BENGAL,440,528,ULUBERIA,GEN,81.87,SULTAN AHMED,AITC
Lok Sabha,2014,UTTAR PRADESH,345,713,UNNAO,GEN,55.52,SWAMI SACHCHIANAND HARI SAKSHI,BJP
Lok Sabha,2014,KARNATAKA,133,385,UTTARA KANNADA,GEN,69.01,ANANTH KUMAR HEGDE,BJP
Lok Sabha,2014,KERALA,44,340,VADAKARA,GEN,81.13,MULLAPPALLY RAMACHANDRAN,INC
Lok Sabha,2014,GUJARAT,285,532,VADODARA,GEN,70.9,NARENDRA MODI,BJP
Lok Sabha,2014,BIHAR,182,171,VAISHALI,GEN,58.34,RAMA KISHORE SINGH,LJP
Lok Sabha,2014,BIHAR,173,735,VALMIKI NAGAR,GEN,61.8,SATISH DUBEY,BJP
Lok Sabha,2014,GUJARAT,291,166,VALSAD,ST,74.22,DR. K.C. PATEL,BJP
Lok Sabha,2014,UTTAR PRADESH,103,622,VARANASI,GEN,58.31,NARENDRA MODI,BJP
Lok Sabha,2014,TAMIL NADU,480,355,VELLORE,GEN,74.28,SENGUTTUVAN B.,AIADMK
Lok Sabha,2014,MADHYA PRADESH,199,572,VIDISHA,GEN,65.68,SUSHMA SWARAJ,BJP
Lok Sabha,2014,ANDHRA PRADESH,148,401,VIJAYAWADA,GEN,76.39,SRINIVAS KESINENI,TDP
Lok Sabha,2014,TAMIL NADU,485,344,VILUPPURAM,SC,76.97,S. RAJENDRAN,AIADMK
Lok Sabha,2014,TAMIL NADU,506,310,VIRUDHUNAGAR,GEN,74.86,RADHAKRISHNAN P.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,21,420,VISAKHAPATNAM,GEN,67.53,DR. KAMBHAMPATI HARI BABU,BJP
Lok Sabha,2014,ANDHRA PRADESH,20,431,VIZIANAGARAM,GEN,79.79,ASHOK GAJAPATHI RAJU PUSAPATI,TDP
Lok Sabha,2014,ANDHRA PRADESH,15,424,WARANGAL,SC,76.38,KADIYAM SRIHARI,TRS
Lok Sabha,2014,MAHARASHTRA,65,492,WARDHA,GEN,64.78,RAMDAS CHANDRABHANJI TADAS,BJP
Lok Sabha,2014,KERALA,45,338,WAYANAD,GEN,73.23,M.I. SHANAVAS,INC
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,456,767,WEST DELHI,GEN,66.1,PARVESH SAHIB SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,71,472,YAVATMAL-WASHIM,GEN,59.25,KUMAR BHAVANA PUNDLIKRAO GAWALI (PATIL),SHS
Lok Sabha,2014,ANDHRA PRADESH,5,428,ZAHIRABAD,GEN,75.75,B.B. PATIL,TRS
