Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,HARYANA,789,HISAR,GEN,3,SAMPAT SINGH,INC,9
Lok Sabha,2014,WEST BENGAL,548,HOOGHLY,GEN,4,PRITAM GHOSH,INC,3
Lok Sabha,2014,MADHYA PRADESH,551,HOSHANGABAD,GEN,2,"DEVENDRA PATEL ""GUDDU BHAIYA""",INC,27
Lok Sabha,2014,PUNJAB,818,HOSHIARPUR,SC,2,MOHINDER SINGH KAYPEE,INC,35
Lok Sabha,2014,WEST BENGAL,525,HOWRAH,GEN,4,MANOJ KUMAR PANDEY,INC,6
Lok Sabha,2014,ANDHRA PRADESH,406,HYDERABAD,GEN,3,S KRISHNA REDDY,INC,5
Lok Sabha,2014,KERALA,312,IDUKKI,GEN,2,ADV. DEAN KURIAKOSE,INC,41
Lok Sabha,2014,MADHYA PRADESH,544,INDORE,GEN,2,SATYANARAYAN PATEL,INC,29
Lok Sabha,2014,MANIPUR,604,INNER MANIPUR,GEN,1,DR. THOKCHOM MEINYA,INC,46
Lok Sabha,2014,MADHYA PRADESH,562,JABALPUR,GEN,2,VIVEKKRISHNA TANKHA,INC,36
Lok Sabha,2014,WEST BENGAL,522,JADAVPUR,GEN,4,SAMIR AICH,INC,2
Lok Sabha,2014,ORISSA,466,JAGATSINGHPUR,SC,2,BIBHU PRASAD TARAI,INC,31
Lok Sabha,2014,RAJASTHAN,710,JAIPUR,GEN,2,MAHESH JOSHI,INC,25
Lok Sabha,2014,RAJASTHAN,743,JAIPUR RURAL,GEN,2,DR. C.P. JOSHI,INC,30
Lok Sabha,2014,ORISSA,478,JAJPUR,SC,2,ASOK DAS,INC,23
Lok Sabha,2014,PUNJAB,815,JALANDHAR,SC,1,SANTOKH SINGH CHAUDHARY,INC,37
Lok Sabha,2014,UTTAR PRADESH,675,JALAUN,SC,4,VIJAY CHAUDHARY,INC,7
Lok Sabha,2014,MAHARASHTRA,470,JALNA,GEN,2,AUTADE VILAS KESHAVRAO,INC,36
Lok Sabha,2014,RAJASTHAN,643,JALORE,GEN,2,ANJANA UDAI LAL,INC,18
Lok Sabha,2014,WEST BENGAL,706,JALPAIGURI,SC,4,DR. SUKHBILAS BARMA,INC,7
Lok Sabha,2014,JAMMU & KASHMIR,823,JAMMU,GEN,2,MADAN LAL SHARMA,INC,29
Lok Sabha,2014,GUJARAT,538,JAMNAGAR,GEN,2,MADAM VIKRAMBHAI ARJANBHAI,INC,36
Lok Sabha,2014,WEST BENGAL,595,JANGIPUR,GEN,1,ABHIJIT MUKHERJEE,INC,34
Lok Sabha,2014,CHHATTISGARH,509,JANJGIR-CHAMPA,SC,2,PREMCHAND JAYASI,INC,32
Lok Sabha,2014,UTTAR PRADESH,662,JAUNPUR,GEN,6,RAVI KISHAN,INC,4
Lok Sabha,2014,WEST BENGAL,29,JAYNAGAR,SC,5,ARNAB ROY,INC,3
Lok Sabha,2014,RAJASTHAN,623,JHALAWAR-BARAN,GEN,2,PRAMOD KUMAR,INC,34
Lok Sabha,2014,UTTAR PRADESH,636,JHANSI,GEN,4,PRADEEP KUMAR JAIN,INC,6
Lok Sabha,2014,WEST BENGAL,546,JHARGRAM,ST,4,ANITA HANSDA,INC,3
Lok Sabha,2014,RAJASTHAN,761,JHUNJHUNU,GEN,2,RAJBALA OLA,INC,25
Lok Sabha,2014,RAJASTHAN,746,JODHPUR,GEN,2,CHANDRESH KUMARI,INC,28
Lok Sabha,2014,ASSAM,722,JORHAT,GEN,2,BIJOY KRISHNA HANDIQUE,INC,38
Lok Sabha,2014,GUJARAT,495,JUNAGADH,GEN,2,PUNJABHAI BHIMABHAI VANSH,INC,40
Lok Sabha,2014,GUJARAT,161,KACHCHH,SC,2,DR. DINESH PARMAR,INC,33
Lok Sabha,2014,ANDHRA PRADESH,376,KADAPA,GEN,3,VEENA AJAYA KUMAR,INC,1
Lok Sabha,2014,UTTAR PRADESH,731,KAISERGANJ,GEN,4,MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP,INC,6
Lok Sabha,2014,ANDHRA PRADESH,410,KAKINADA,GEN,3,MANGAPATI PALLAM RAJU MALLIPUDI,INC,2
Lok Sabha,2014,ORISSA,477,KALAHANDI,GEN,3,BHAKTA CHARAN DAS,INC,28
